kod_lotniska,nazwa_lotniska,miasto,stan,kraj,latitude,longitude
UIN,Quincy Regional Airport Baldwin Field,Quincy,US-IL,US,39.942699,-91.194603
USA,Concord-Padgett Regional Airport,Concord,US-NC,US,35.387798,-80.709099
UST,Northeast Florida Regional Airport,St Augustine,US-FL,US,29.9592,-81.339798
UTM,Tunica Municipal Airport,Tunica,US-MS,US,34.68505,-90.347757
VEL,Vernal Regional Airport,Vernal,US-UT,US,40.436214,-109.511661
VLD,Valdosta Regional Airport,Valdosta,US-GA,US,30.782499313354492,-83.27670288085938
VPS,Destin-Fort Walton Beach Airport,Valparaiso,US-FL,US,30.4832,-86.525398
WRG,Wrangell Airport,Wrangell,US-AK,US,56.48429871,-132.3699951
WYS,Yellowstone Airport,West Yellowstone,US-MT,US,44.6884,-111.117996
XNA,Northwest Arkansas National Airport,Fayetteville/Springdale/Rogers,US-AR,US,36.281898,-94.306801
YAK,Yakutat Airport,Yakutat,US-AK,US,59.508717,-139.660435
YNG,Youngstown Warren Regional Airport,Youngstown/Warren,US-OH,US,41.26070023,-80.67910004
YUM,Yuma International Airport / Marine Corps Air Station Yuma,Yuma,US-AZ,US,32.650938,-114.609375
