kod_lotniska,nazwa_lotniska,miasto,stan,kraj,latitude,longitude
MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,US-AL,US,32.300598,-86.393997
MHK,Manhattan Regional Airport,Manhattan,US-KS,US,39.14099884033203,-96.6707992553711
MHT,Manchester-Boston Regional Airport,Manchester,US-NH,US,42.932598,-71.435699
MIA,Miami International Airport,Miami,US-FL,US,25.79319953918457,-80.29060363769531
MKE,General Mitchell International Airport,Milwaukee,US-WI,US,42.947201,-87.896599
MKG,Muskegon County Airport,Muskegon,US-MI,US,43.169498,-86.238197
MLB,Melbourne Orlando International Airport,Melbourne,US-FL,US,28.1028,-80.645302
MLI,Quad City International Airport,Moline,US-IL,US,41.448502,-90.5075
MLU,Monroe Regional Airport,Monroe,US-LA,US,32.510899,-92.037697
MMH,Mammoth Yosemite Airport,Mammoth Lakes,US-CA,US,37.625381,-118.84306
MOB,Mobile Regional Airport,Mobile,US-AL,US,30.6912,-88.242798
MOD,Modesto City Co-Harry Sham Field,Modesto,US-CA,US,37.625801,-120.954002
MOT,Minot International Airport,Minot,US-ND,US,48.2593994140625,-101.27999877929688
MQT,Marquette/Sawyer International Airport,Gwinn,US-MI,US,46.3536,-87.395401
MRY,Monterey Peninsula Airport,Monterey,US-CA,US,36.58700180053711,-121.84300231933594
MSN,Dane County Regional Truax Field,Madison,US-WI,US,43.1399,-89.337502
MSO,Missoula International Airport,Missoula,US-MT,US,46.91630173,-114.0910034
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US-MN,US,44.880081,-93.221741
MSY,Louis Armstrong New Orleans International Airport,New Orleans,US-LA,US,29.993401,-90.258003
MTJ,Montrose Regional Airport,Montrose,US-CO,US,38.5098,-107.893997
MVY,Martha's Vineyard Airport,Martha's Vineyard,US-MA,US,41.3931007385,-70.6143035889
MWH,Grant County International Airport,Moses Lake,US-WA,US,47.20769882,-119.3199997
MYR,Myrtle Beach International Airport,Myrtle Beach,US-SC,US,33.679699,-78.928299
OAJ,Albert J Ellis Airport,Richlands,US-NC,US,34.829201,-77.612099
OAK,San Francisco Bay Oakland International Airport,Oakland,US-CA,US,37.720085,-122.221184
OGD,Ogden Hinckley Airport,Ogden,US-UT,US,41.195899963379,-112.0120010376
OGG,Kahului International Airport,Kahului,US-HI,US,20.896263,-156.431837
OGS,Ogdensburg International Airport,Ogdensburg,US-NY,US,44.6819,-75.4655
OKC,Will Rogers World Airport,Oklahoma City,US-OK,US,35.393388,-97.598248
OMA,Eppley Airfield,Omaha,US-NE,US,41.3032,-95.894096
OME,Nome Airport,Nome,US-AK,US,64.51219940185547,-165.44500732421875
ONT,Ontario International Airport,Ontario,US-CA,US,34.056,-117.600998
ORD,Chicago O'Hare International Airport,Chicago,US-IL,US,41.9786,-87.9048
ORF,Norfolk International Airport,Norfolk,US-VA,US,36.895341,-76.201
ORH,Worcester Regional Airport,Worcester,US-MA,US,42.2673,-71.875702
OTH,Southwest Oregon Regional Airport,North Bend,US-OR,US,43.41709899902344,-124.24600219726562
OTZ,Ralph Wien Memorial Airport,Kotzebue,US-AK,US,66.88469696,-162.598999
OWB,Owensboro Daviess County Airport,Owensboro,US-KY,US,37.74010086,-87.16680145
OXR,Oxnard Airport,Oxnard,US-CA,US,34.200801849365,-119.20700073242
PAH,Barkley Regional Airport,Paducah,US-KY,US,37.06079864501953,-88.7738037109375
PBG,Plattsburgh International Airport,Plattsburgh,US-NY,US,44.650901794433594,-73.46810150146484
PBI,Palm Beach International Airport,West Palm Beach,US-FL,US,26.683201,-80.095596
PDX,Portland International Airport,Portland,US-OR,US,45.588699,-122.598
PFN,Panama City-Bay County International Airport,Panama City,US-FL,US,30.2121,-85.6828
PGD,Punta Gorda Airport,Punta Gorda,US-FL,US,26.9202,-81.990501
PGV,Pitt-Greenville Airport,Greenville,US-NC,US,35.635535,-77.384262
PHF,Newport News Williamsburg International Airport,Newport News,US-VA,US,37.131901,-76.492996
PHL,Philadelphia International Airport,Philadelphia,US-PA,US,39.871899,-75.241096
PHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,33.435302,-112.005905
PIA,General Wayne A. Downing Peoria International Airport,Peoria,US-IL,US,40.6642,-89.693298
PIB,Hattiesburg Laurel Regional Airport,Moselle,US-MS,US,31.4671,-89.337097
PIE,St. Petersburg Clearwater International Airport,Pinellas Park,US-FL,US,27.9102,-82.687401
PIH,Pocatello Regional Airport,Pocatello,US-ID,US,42.9098014831543,-112.59600067138672
PIR,Pierre Regional Airport,Pierre,US-SD,US,44.38270187,-100.2860031
PIT,Pittsburgh International Airport,Pittsburgh,US-PA,US,40.491501,-80.232903
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,US-MI,US,45.57089996,-84.79669952
PNS,Pensacola International Airport,Pensacola,US-FL,US,30.4734,-87.1866
PPG,Pago Pago International Airport,Pago Pago,AS-WT,AS,-14.331,-170.710007
PRC,Prescott International Airport - Ernest A. Love Field,Prescott,US-AZ,US,34.654499,-112.419998
PSC,Tri Cities Airport,Pasco,US-WA,US,46.264702,-119.119003
PSE,Mercedita Airport,Ponce,PR-U-A,PR,18.00830078125,-66.56300354003906
PSG,Petersburg James A Johnson Airport,Petersburg,US-AK,US,56.80170059,-132.9450073
PSM,Portsmouth International at Pease Airport,Portsmouth,US-NH,US,43.0778999329,-70.8233032227
PSP,Palm Springs International Airport,Palm Springs,US-CA,US,33.8297,-116.507004
PUB,Pueblo Memorial Airport,Pueblo,US-CO,US,38.289101,-104.497002
